seed_term,sponsor,total_trials_since_2020,active_trials_since_2020,early_phase_trials_since_2020,active_early_trials_since_2020,total_trials_since_2020_score,active_trials_since_2020_score,early_phase_trials_since_2020_score,active_early_trials_since_2020_score,trial_activity_score,sponsor_total_active_early,therapeutic_focus_score,activity_trajectory_score,start_slope,starts_early_period,starts_recent_period,effective_indication_breadth,breadth_score,prospect_score
autoimmune diseases,"Beijing Immunochina Medical Science & Technology Co., Ltd.",2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,7,0.2857142857142857,0.9400000000000001,0.01666666666666666,0.0,2.0,1.7999999999999998,0.7776070961516035,54.16535667580176
autoimmune diseases,"Kite, A Gilead Company",2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,7,0.2857142857142857,0.9400000000000001,0.05000000000000001,0.0,2.0,1.7999999999999998,0.7776070961516035,54.16535667580176
autoimmune diseases,"Haisco Pharmaceutical Group Co., Ltd.",4,3,3,2,0.5,0.5,0.5,0.5,0.5,34,0.058823529411764705,0.9769230769230769,0.06666666666666667,0.0,4.0,2.0,0.8297130933355026,54.012063060051865
autoimmune diseases,Luminary Therapeutics,2,2,2,2,0.25,0.3333333333333333,0.3333333333333333,0.5,0.4375,6,0.3333333333333333,0.88,0.016666666666666666,0.0,1.0,1.7999999999999998,0.7776070961516035,53.91773762818271
autoimmune diseases,Arialys Australia Pty Ltd,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.03333333333333333,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,Baylx Inc.,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.03333333333333333,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,"Black Tie Medical, Inc.",1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.03333333333333333,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,Capstan Therapeutics,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.016666666666666666,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,"Circunited BioPharma (Shenzhen) Co., Ltd.",1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.03333333333333333,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,"Hangzhou Qihan Biotech Co., Ltd.",1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.016666666666666666,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,ImmunAbs Inc.,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.03333333333333333,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,"Jiangsu BioJeTay Biotechnology Co., Ltd.",1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.016666666666666666,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,"Lifordi Immunotherapeutics, Inc.",1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.016666666666666666,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,LiveKidney.Bio,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.016666666666666666,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,Merida Biosciences,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.016666666666666666,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,"Neukio Biotherapeutics (Shanghai) Co., Ltd.",1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.016666666666666666,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
autoimmune diseases,NeuroGenesis Ltd.,1,1,1,1,0.125,0.16666666666666666,0.16666666666666666,0.25,0.21875,1,1.0,0.88,0.016666666666666666,0.0,1.0,1.0,0.5234906775131802,53.7724067751318
