nct_id,Indication
NCT04121286,"Carcinoma, Pancreatic Ductal"
NCT04121286,Esophageal Squamous Cell Carcinoma
NCT04121286,Squamous Cell Carcinoma of Head and Neck
NCT04121286,Breast Neoplasms
NCT04121286,Noonan Syndrome
NCT05180370,Heart Failure
NCT07615166,Atherosclerosis
NCT04763226,Heart Failure
NCT04763226,Edema
NCT06600425,Ciliary Motility Disorders
NCT06600425,Kartagener Syndrome
NCT07708376,Venous Thrombosis
NCT07708376,Thrombosis
NCT06383390,Atherosclerosis
NCT06383390,"Renal Insufficiency, Chronic"
NCT06383390,Cardiovascular Diseases
NCT06383390,Kidney Diseases
NCT06383390,"Diabetes Mellitus, Type 2"
NCT06383390,Heart Diseases
NCT06383390,Coronary Artery Disease
NCT06383390,Cerebrovascular Disorders
NCT06383390,Peripheral Arterial Disease
NCT06383390,Death
NCT06383390,"Kidney Failure, Chronic"
NCT06121518,Essential Hypertension
NCT05410860,"Tachycardia, Supraventricular"
NCT05410860,"Tachycardia, Ventricular"
NCT06402123,Mitochondrial encephalopathy
NCT06402123,"Acidosis, Lactic"
NCT06402123,MELAS Syndrome
NCT04823962,Varicose Ulcer
NCT05258942,Heart Failure
NCT06809686,Heart Failure
NCT06526546,Atrial Fibrillation
NCT06526546,Atrial Flutter
NCT06775834,"Cardiomyopathy, Hypertrophic"
NCT04571099,Stroke
NCT07288398,Heart Failure
NCT04857840,Hypertension
NCT07712380,Cardiovascular Diseases
NCT07712380,Herpes Zoster
NCT06040476,Ischemic Stroke
NCT06540521,Heart Failure
NCT06540521,Bradycardia
NCT07241390,"Renal Insufficiency, Chronic"
NCT07241390,Heart Diseases
NCT07241390,Kidney Diseases
NCT07241390,Stroke
NCT06581159,"Hypertension, Pulmonary"
NCT07598968,Hypertension
NCT07598968,"Diabetes Mellitus, Type 2"
NCT04790513,Hypercholesterolemia
NCT04790513,Cardiovascular Diseases
NCT07448038,Atherosclerosis
NCT05329168,Endocarditis
NCT04559243,Embolic Stroke
NCT05618691,Intermittent Claudication
NCT05618691,Peripheral Arterial Disease
NCT04565990,"Hypertension, Pulmonary"
NCT07519889,Ischemic Stroke
NCT05186818,"Cardiomyopathy, Hypertrophic"
NCT07682948,Hypertension
NCT07682948,Dyslipidemias
NCT06678074,ST Elevation Myocardial Infarction
NCT04970108,"Diabetes Mellitus, Type 2"
NCT04970108,Hypertension
NCT04714268,Aortic Aneurysm
NCT04714268,Iliac Aneurysm
NCT04714268,Aortic Valve Stenosis
NCT07754825,Ischemic Stroke
NCT05138289,Coronary Artery Disease
NCT05138289,Angina Pectoris
NCT05138289,Myocardial Infarction
NCT04185090,Hypertension
NCT04185090,Dyslipidemias
NCT04936035,Hypertension
NCT06987643,Ischemic Stroke
NCT07747207,Heart Diseases
NCT07747207,Pulmonary Valve Insufficiency
NCT07747207,Pulmonary Valve Stenosis
NCT07747207,Tetralogy of Fallot
NCT06487130,Behavior
NCT06487130,Patient Acceptance of Health Care
NCT06487130,Cognitive Dysfunction
NCT06487130,"Osteoporosis, Postmenopausal"
NCT06487130,"Diabetes Mellitus, Type 2"
NCT06487130,Dementia
NCT06487130,Cardiovascular Diseases
NCT06487130,Hot Flashes
NCT06487130,Financial Stress
NCT06487130,Social Stigma
NCT05232565,Coronary Stenosis
NCT05461807,Venous Thromboembolism
NCT05461807,Neoplasms
NCT04249401,Atrial Fibrillation
NCT05437900,Coronary Artery Disease
NCT05437900,Acute Coronary Syndrome
NCT05612035,"Hypertension, Pulmonary"
NCT05612035,"Pulmonary Disease, Chronic Obstructive"
NCT07643896,Aneuploidy
NCT07643896,Down Syndrome
NCT07643896,DiGeorge Syndrome
NCT07643896,Trisomy 13 Syndrome
NCT07643896,Trisomy 18 Syndrome
NCT07643896,Sex Chromosome Aberrations
NCT06693570,Varicose Ulcer
NCT04861519,"Angina, Stable"
NCT04861519,"Angina, Unstable"
NCT04861519,Non-ST Elevated Myocardial Infarction
NCT05013944,Communicable Diseases
NCT05013944,Neoplasms
NCT05013944,Metabolic Diseases
NCT05013944,Mental Disorders
NCT05013944,Nervous System Diseases
NCT05013944,Eye Diseases
NCT05013944,Ear Diseases
NCT05013944,Respiration Disorders
NCT05013944,Digestive System Diseases
NCT05013944,Skin Diseases
NCT05013944,Urogenital Diseases
NCT05013944,Congenital Abnormalities
NCT05013944,Chromosome Aberrations
NCT05013944,Wounds and Injuries
NCT05013944,Poisoning
NCT00424866,Peripheral Arterial Disease
NCT00424866,"Constriction, Pathologic"
NCT00424866,Intermittent Claudication
NCT00424866,Ischemia
NCT04848506,"Cardiomyopathy, Hypertrophic"
NCT06990204,Hypertension
NCT06092606,Neoplasms
NCT06092606,Heart Failure
NCT06092606,"Arrhythmias, Cardiac"
NCT06813651,Ischemic Stroke
NCT06363851,Cardiovascular Diseases
NCT07748702,Hypertension
NCT05269966,Macular Degeneration
NCT05269966,Vision Disorders
NCT05269966,Geographic Atrophy
NCT05269966,Wet Macular Degeneration
NCT05269966,Choroidal Neovascularization
NCT05269966,Retinal Vein Occlusion
NCT06483802,Friedreich Ataxia
NCT06483802,Cardiomyopathies
NCT05380453,Giant Cell Arteritis
NCT05380453,Vasculitis
NCT05380453,Vascular Diseases
NCT05380453,Polymyalgia Rheumatica
NCT05380453,Arteritis
NCT05350202,Heart Failure
NCT07247162,Hypertension
NCT07247162,"ACTH Syndrome, Ectopic"
NCT07247162,Cushing Syndrome
NCT06619483,Thromboembolism
NCT06228924,Arrhythmogenic Right Ventricular Dysplasia
NCT06228924,Heart Failure
NCT07379697,Atrial Fibrillation
NCT04667910,Retinal Vein Occlusion
NCT05767346,"Cardiomyopathy, Hypertrophic"
